"v1","v2","v3","v4","v5"
"INTERCONNECT","INTERCONNECTS","INTERCONNECTED","INTERCONNECTED","INTERCONNECTING"
"INTERCROP","INTERCROPS","INTERCROPPED","INTERCROPPED","INTERCROPPING"
"INTERCROSS","INTERCROSSES","INTERCROSSED","INTERCROSSED","INTERCROSSING"
"INTERCUT","INTERCUTS","INTERCUT","INTERCUT","INTERCUTTING"
"INTERDICT","INTERDICTS","INTERDICTED","INTERDICTED","INTERDICTING"
"INTERDIGITATE","INTERDIGITATES","INTERDIGITATED","INTERDIGITATED","INTERDIGITATING"
"INTEREST","INTERESTS","INTERESTED","INTERESTED","INTERESTING"
"INTERFACE","INTERFACES","INTERFACED","INTERFACED","INTERFACING"
"INTERFERE","INTERFERES","INTERFERED","INTERFERED","INTERFERING"
"INTERFILE","INTERFILES","INTERFILED","INTERFILED","INTERFILING"
"INTERFLOW","INTERFLOWS","INTERFLOWED","INTERFLOWED","INTERFLOWING"
"INTERFUSE","INTERFUSES","INTERFUSED","INTERFUSED","INTERFUSING"
"INTERGRADE","INTERGRADES","INTERGRADED","INTERGRADED","INTERGRADING"
"INTERIORIZE","INTERIORIZES","INTERIORIZED","INTERIORIZED","INTERIORIZING"
"INTERJECT","INTERJECTS","INTERJECTED","INTERJECTED","INTERJECTING"
"INTERLACE","INTERLACES","INTERLACED","INTERLACED","INTERLACING"
"INTERLAMINATE","INTERLAMINATES","INTERLAMINATED","INTERLAMINATED","INTERLAMINATING"
"INTERLAP","INTERLAPS","INTERLAPPED","INTERLAPPED","INTERLAPPING"
"INTERLARD","INTERLARDS","INTERLARDED","INTERLARDED","INTERLARDING"
"INTERLAY","INTERLAYS","INTERLAID","INTERLAID","INTERLAYING"
"INTERLEAVE","INTERLEAVES","INTERLEAVED","INTERLEAVED","INTERLEAVING"
"INTERLINEATE","INTERLINES","INTERLINED","INTERLINED","INTERLINING"
"INTERLINK","INTERLINKS","INTERLINKED","INTERLINKED","INTERLINKING"
"INTERLOCK","INTERLOCKS","INTERLOCKED","INTERLOCKED","INTERLOCKING"
"INTERLOPE","INTERLOPES","INTERLOPED","INTERLOPED","INTERLOPING"
"INTERMARRY","INTERMARRIES","INTERMARRIED","INTERMARRIED","INTERMARRYING"
"INTERMESH","INTERMESHES","INTERMESHED","INTERMESHED","INTERMESHING"
"INTERMINGLE","INTERMINGLES","INTERMINGLED","INTERMINGLED","INTERMINGLING"
"INTERMIT","INTERMITS","INTERMITTED","INTERMITTED","INTERMITTING"
"INTERMIX","INTERMIXES","INTERMIXED","INTERMIXED","INTERMIXING"
"INTERN","INTERNS","INTERNED","INTERNED","INTERNING"
"INTERNALISE","INTERNALISES","INTERNALISED","INTERNALISED","INTERNALISING"
"INTERNALIZE","INTERNALIZES","INTERNALIZED","INTERNALIZED","INTERNALIZING"
"INTERNATIONALISE","INTERNATIONALISES","INTERNATIONALISED","INTERNATIONALISED","INTERNATIONALISING"
"INTERNATIONALIZE","INTERNATIONALIZES","INTERNATIONALIZED","INTERNATIONALIZED","INTERNATIONALIZING"
"INTEROSCULATE","INTEROSCULATES","INTEROSCULATED","INTEROSCULATED","INTEROSCULATING"
"INTERPAGE","INTERPAGES","INTERPAGED","INTERPAGED","INTERPAGING"
"INTERPELLATE","INTERPELLATES","INTERPELLATED","INTERPELLATED","INTERPELLATING"
"INTERPENETRATE","INTERPENETRATES","INTERPENETRATED","INTERPENETRATED","INTERPENETRATING"
"INTERPLEAD","INTERPLEADS","INTERPLED","INTERPLED","INTERPLEADING"
"INTERPOLATE","INTERPOLATES","INTERPOLATED","INTERPOLATED","INTERPOLATING"
"INTERPOSE","INTERPOSES","INTERPOSED","INTERPOSED","INTERPOSING"
"INTERPRET","INTERPRETS","INTERPRETED","INTERPRETED","INTERPRETING"
"INTERRELATE","INTERRELATES","INTERRELATED","INTERRELATED","INTERRELATING"
"INTERROGATE","INTERROGATES","INTERROGATED","INTERROGATED","INTERROGATING"
"INTERRUPT","INTERRUPTS","INTERRUPTED","INTERRUPTED","INTERRUPTING"
"INTERSECT","INTERSECTS","INTERSECTED","INTERSECTED","INTERSECTING"
"INTERSPACE","INTERSPACES","INTERSPACED","INTERSPACED","INTERSPACING"
"INTERSPERSE","INTERSPERSES","INTERSPERSED","INTERSPERSED","INTERSPERSING"
"INTERSTRATIFY","INTERSTRATIFIES","INTERSTRATIFIED","INTERSTRATIFIED","INTERSTRATIFYING"
"INTERTWINE","INTERTWINES","INTERTWINED","INTERTWINED","INTERTWINING"
"INTERVENE","INTERVENES","INTERVENED","INTERVENED","INTERVENING"
"INTERVIEW","INTERVIEWS","INTERVIEWED","INTERVIEWED","INTERVIEWING"
"INTERWEAVE","INTERWEAVES","INTERWOVE","INTERWOVEN","INTERWEAVING"
"INTERWORK","INTERWORKS","INTERWORKED","INTERWORKED","INTERWORKING"
"INTIMATE","INTIMATES","INTIMATED","INTIMATED","INTIMATING"
"INTIMIDATE","INTIMIDATES","INTIMIDATED","INTIMIDATED","INTIMIDATING"
"INTITULE","INTITULES","INTITULED","INTITULED","INTITULING"
"INTONATE","INTONATES","INTONATED","INTONATED","INTONATING"
"INTONE","INTONES","INTONED","INTONED","INTONING"
"INTOXICATE","INTOXICATES","INTOXICATED","INTOXICATED","INTOXICATING"
"INTREAT","INTREATS","INTREATED","INTREATED","INTREATING"
"INTRENCH","INTRENCHES","INTRENCHED","INTRENCHED","INTRENCHING"
"INTRIGUE","INTRIGUES","INTRIGUED","INTRIGUED","INTRIGUING"
"INTRODUCE","INTRODUCES","INTRODUCED","INTRODUCED","INTRODUCING"
"INTROJECT","INTROJECTS","INTROJECTED","INTROJECTED","INTROJECTING"
"INTROMIT","INTROMITS","INTROMITTED","INTROMITTED","INTROMITTING"
"INTROSPECT","INTROSPECTS","INTROSPECTED","INTROSPECTED","INTROSPECTING"
"INTROVERT","INTROVERTS","INTROVERTED","INTROVERTED","INTROVERTING"
"INTRUDE","INTRUDES","INTRUDED","INTRUDED","INTRUDING"
"INTRUST","INTRUSTS","INTRUSTED","INTRUSTED","INTRUSTING"
"INTUBATE","INTUBATES","INTUBATED","INTUBATED","INTUBATING"
"INTUIT","INTUITS","INTUITED","INTUITED","INTUITING"
"INTUMESCE","INTUMESCES","INTUMESCED","INTUMESCED","INTUMESCING"
"INTUSSUSCEPT","INTUSSUSCEPTS","INTUSSUSCEPTED","INTUSSUSCEPTED","INTUSSUSCEPTING"
"INTWINE","INTWINES","INTWINED","INTWINED","INTWINING"
"INUNDATE","INUNDATES","INUNDATED","INUNDATED","INUNDATING"
"INURE","INURES","INURED","INURED","INURING"
"INURN","INURNS","INURNED","INURNED","INURNING"
"INVADE","INVADES","INVADED","INVADED","INVADING"
"INVAGINATE","INVAGINATES","INVAGINATED","INVAGINATED","INVAGINATING"
"INVALID","INVALIDS","INVALIDED","INVALIDED","INVALIDING"
"INVALIDATE","INVALIDATES","INVALIDATED","INVALIDATED","INVALIDATING"
"INVEIGH","INVEIGHS","INVEIGHED","INVEIGHED","INVEIGHING"
"INVEIGLE","INVEIGLES","INVEIGLED","INVEIGLED","INVEIGLING"
"INVENT","INVENTS","INVENTED","INVENTED","INVENTING"
"INVENTORY","INVENTORIES","INVENTORIED","INVENTORIED","INVENTORYING"
"INVERT","INVERTS","INVERTED","INVERTED","INVERTING"
"INVEST","INVESTS","INVESTED","INVESTED","INVESTING"
"INVESTIGATE","INVESTIGATES","INVESTIGATED","INVESTIGATED","INVESTIGATING"
"INVIGILATE","INVIGILATES","INVIGILATED","INVIGILATED","INVIGILATING"
"INVIGORATE","INVIGORATES","INVIGORATED","INVIGORATED","INVIGORATING"
"INVITE","INVITES","INVITED","INVITED","INVITING"
"INVOCATE","INVOCATES","INVOCATED","INVOCATED","INVOCATING"
"INVOICE","INVOICES","INVOICED","INVOICED","INVOICING"
"INVOKE","INVOKES","INVOKED","INVOKED","INVOKING"
"INVOLUTE","INVOLUTES","INVOLUTED","INVOLUTED","INVOLUTING"
"INVOLVE","INVOLVES","INVOLVED","INVOLVED","INVOLVING"
"INWEAVE","INWEAVES","INWOVE","INWOVEN","INWEAVING"
"INWRAP","INWRAPS","INWRAPPED","INWRAPPED","INWRAPPING"
"IODATE","IODATES","IODATED","IODATED","IODATING"
"IODIZE","IODIZES","IODIZED","IODIZED","IODIZING"
"IONISE","IONISES","IONISED","IONISED","IONISING"
"IONIZE","IONIZES","IONIZED","IONIZED","IONIZING"
"IRK","IRKS","IRKED","IRKED","IRKING"
"IRON","IRONS","IRONED","IRONED","IRONING"
"IRONIZE","IRONIZES","IRONIZED","IRONIZED","IRONIZING"
"IRRADIATE","IRRADIATES","IRRADIATED","IRRADIATED","IRRADIATING"
"IRRIGATE","IRRIGATES","IRRIGATED","IRRIGATED","IRRIGATING"
"IRRITATE","IRRITATES","IRRITATED","IRRITATED","IRRITATING"
"IRRUPT","IRRUPTS","IRRUPTED","IRRUPTED","IRRUPTING"
"ISLAMIZE","ISLAMIZES","ISLAMIZED","ISLAMIZED","ISLAMIZING"
"ISLAND","ISLANDS","ISLANDED","ISLANDED","ISLANDING"
"ISOCHRONIZE","ISOCHRONIZES","ISOCHRONIZED","ISOCHRONIZED","ISOCHRONIZING"
"ISOLATE","ISOLATES","ISOLATED","ISOLATED","ISOLATING"
"ISOMERIZE","ISOMERIZES","ISOMERIZED","ISOMERIZED","ISOMERIZING"
"ISSUE","ISSUES","ISSUED","ISSUED","ISSUING"
"ITALIANIZE","ITALIANIZES","ITALIANIZED","ITALIANIZED","ITALIANIZING"
"ITALICISE","ITALICISES","ITALICISED","ITALICISED","ITALICISING"
"ITALICIZE","ITALICIZES","ITALICIZED","ITALICIZED","ITALICIZING"
"ITCH","ITCHES","ITCHED","ITCHED","ITCHING"
"ITEM","ITEMS","ITEMED","ITEMED","ITEMING"
"ITEMISE","ITEMISES","ITEMISED","ITEMISED","ITEMISING"
"ITEMIZE","ITEMIZES","ITEMIZED","ITEMIZED","ITEMIZING"
"ITERATE","ITERATES","ITERATED","ITERATED","ITERATING"
"ITINERATE","ITINERATES","ITINERATED","ITINERATED","ITINERATING"
"JAB","JABS","JABBED","JABBED","JABBING"
"JABBER","JABBERS","JABBERED","JABBERED","JABBERING"
"JACK","JACKS","JACKED","JACKED","JACKING"
"JACK-KNIFE","JACK-KNIFES","JACK-KNIFED","JACK-KNIFED","JACK-KNIFING"
"JACKET","JACKETS","JACKETED","JACKETED","JACKETING"
"JACKKNIFE","JACKKNIFES","JACKKNIFED","JACKKNIFED","JACKKNIFING"
"JADE","JADES","JADED","JADED","JADING"
"JAGA","JAGAS","JAGAED","JAGAED","JAGAING"
"JAGG","JAGS","JAGGED","JAGGED","JAGGING"
"JAIL","JAILS","JAILED","JAILED","JAILING"
"JAM","JAMS","JAMMED","JAMMED","JAMMING"
"JAMPACK","JAMPACKS","JAMPACKED","JAMPACKED","JAMPACKING"
"JANGLE","JANGLES","JANGLED","JANGLED","JANGLING"
"JAPAN","JAPANS","JAPANNED","JAPANNED","JAPANNING"
"JAPE","JAPES","JAPED","JAPED","JAPING"
"JAR","JARS","JARRED","JARRED","JARRING"
"JARGON","JARGONS","JARGONED","JARGONED","JARGONING"
"JARGONIZE","JARGONIZES","JARGONIZED","JARGONIZED","JARGONIZING"
"JAUNDICE","JAUNDICES","JAUNDICED","JAUNDICED","JAUNDICING"
"JAUNT","JAUNTS","JAUNTED","JAUNTED","JAUNTING"
"JAUP","JAUPS","JAUPED","JAUPED","JAUPING"
"JAW","JAWS","JAWED","JAWED","JAWING"
"JAY-WALK","JAY-WALKS","JAYWALKED","JAY-WALKED","JAYWALKING"
"JAYWALK","JAYWALKS","JAYWALKED","JAYWALKED","JAYWALKING"
"JAZZ","JAZZES","JAZZED","JAZZED","JAZZING"
"JEER","JEERS","JEERED","JEERED","JEERING"
"JELL","JELLS","JELLED","JELLED","JELLING"
"JELLIFY","JELLIFIES","JELLIFIED","JELLIFIED","JELLIFYING"
"JELLY","JELLIES","JELLIED","JELLIED","JELLYING"
"JEMMY","JEMMIES","JEMMIED","JEMMIED","JEMMYING"
"JEOPARDISE","JEOPARDISES","JEOPARDISED","JEOPARDISED","JEOPARDISING"
"JEOPARDIZE","JEOPARDIZES","JEOPARDIZED","JEOPARDIZED","JEOPARDIZING"
"JERK","JERKS","JERKED","JERKED","JERKING"
"JERRYBUILD","JERRYBUILDS","JERRYBUILT","JERRYBUILT","JERRYBUILDING"
"JESS","JESSES","JESSED","JESSED","JESSING"
"JEST","JESTS","JESTED","JESTED","JESTING"
"JET","JETS","JETTED","JETTED","JETTING"
"JETTISON","JETTISONS","JETTISONED","JETTISONED","JETTISONING"
"JEW","JEWS","JEWED","JEWED","JEWING"
"JEWEL","JEWELS","JEWELLED","JEWELLED","JEWELLING"
"JIB","JIBS","JIBBED","JIBBED","JIBBING"
"JIBE","JIBES","JIBED","JIBED","JIBING"
"JIG","JIGS","JIGGED","JIGGED","JIGGING"
"JIGGLE","JIGGLES","JIGGLED","JIGGLED","JIGGLING"
"JILT","JILTS","JILTED","JILTED","JILTING"
"JIMMY","JIMMIES","JIMMIED","JIMMIED","JIMMYING"
"JINGLE","JINGLES","JINGLED","JINGLED","JINGLING"
"JINK","JINKS","JINKED","JINKED","JINKING"
"JINX","JINXES","JINXED","JINXED","JINXING"
"JITTER","JITTERS","JITTERED","JITTERED","JITTERING"
"JIVE","JIVES","JIVED","JIVED","JIVING"
"JOB","JOBS","JOBBED","JOBBED","JOBBING"
"JOB-HUNT","JOB-HUNTS","JOB-HUNTED","JOB-HUNTED","JOB-HUNTING"
"JOB-SHARE","JOB-SHARES","JOB-SHARED","JOB-SHARED","JOB-SHARING"
"JOBHUNT","JOBHUNTS","JOBHUNTED","JOBHUNTED","JOBHUNTING"
"JOBSHARE","JOBSHARES","JOBSHARED","JOBSHARED","JOBSHARING"
"JOCKEY","JOCKEYS","JOCKEYED","JOCKEYED","JOCKEYING"
"JOG","JOGS","JOGGED","JOGGED","JOGGING"
"JOG-TROT","JOG-TROTS","JOG-TROTTED","JOG-TROTTED","JOG-TROTTING"
"JOGGLE","JOGGLES","JOGGLED","JOGGLED","JOGGLING"
"JOIN","JOINS","JOINED","JOINED","JOINING"
"JOINT","JOINTS","JOINTED","JOINTED","JOINTING"
"JOIST","JOISTS","JOISTED","JOISTED","JOISTING"
"JOKE","JOKES","JOKED","JOKED","JOKING"
"JOL","JOLS","JOLLED","JOLLED","JOLLING"
"JOLLIFY","JOLLIFIES","JOLLIFIED","JOLLIFIED","JOLLIFYING"
"JOLLY","JOLLIES","JOLLIED","JOLLIED","JOLLYING"
"JOLT","JOLTS","JOLTED","JOLTED","JOLTING"
"JOOK","JOOKS","JOOKED","JOOKED","JOOKING"
"JOSH","JOSHES","JOSHED","JOSHED","JOSHING"
"JOSTLE","JOSTLES","JOSTLED","JOSTLED","JOSTLING"
"JOT","JOTS","JOTTED","JOTTED","JOTTING"
"JOUNCE","JOUNCES","JOUNCED","JOUNCED","JOUNCING"
"JOURNALIZE","JOURNALIZES","JOURNALIZED","JOURNALIZED","JOURNALIZING"
"JOURNEY","JOURNEYS","JOURNEYED","JOURNEYED","JOURNEYING"
"JOUST","JOUSTS","JOUSTED","JOUSTED","JOUSTING"
"JOY","JOYS","JOYED","JOYED","JOYING"
"JOY-RIDE","JOY-RIDES","JOY-RIDED","JOY-RIDED","JOY-RIDING"
"JOYPOP","JOYPOPS","JOYPOPPED","JOYPOPPED","JOYPOPPING"
"JUBILATE","JUBILATES","JUBILATED","JUBILATED","JUBILATING"
"JUDAIZE","JUDAIZES","JUDAIZED","JUDAIZED","JUDAIZING"
"JUDDER","JUDDERS","JUDDERED","JUDDERED","JUDDERING"
"JUDGE","JUDGES","JUDGED","JUDGED","JUDGING"
"JUG","JUGS","JUGGED","JUGGED","JUGGING"
"JUGGLE","JUGGLES","JUGGLED","JUGGLED","JUGGLING"
"JUGULATE","JUGULATES","JUGULATED","JUGULATED","JUGULATING"
"JUICE","JUICES","JUICED","JUICED","JUICING"
"JUMBLE","JUMBLES","JUMBLED","JUMBLED","JUMBLING"
"JUMP","JUMPS","JUMPED","JUMPED","JUMPING"
"JUMP-START","JUMP-STARTS","JUMP-STARTED","JUMP-STARTED","JUMP-STARTING"
"JUMPSTART","JUMPSTARTS","JUMPSTARTED","JUMPSTARTED","JUMPSTARTING"
"JUNK","JUNKS","JUNKED","JUNKED","JUNKING"
"JUNKET","JUNKETS","JUNKETED","JUNKETED","JUNKETING"
"JUSTIFY","JUSTIFIES","JUSTIFIED","JUSTIFIED","JUSTIFYING"
"JUSTLE","JUSTLES","JUSTLED","JUSTLED","JUSTLING"
"JUT","JUTS","JUTTED","JUTTED","JUTTING"
"JUXTAPOSE","JUXTAPOSES","JUXTAPOSED","JUXTAPOSED","JUXTAPOSING"
"KALSOMINE","KALSOMINES","KALSOMINED","KALSOMINED","KALSOMINING"
"KANGAROO","KANGAROOS","KANGAROOED","KANGAROOED","KANGAROOING"
"KAYO","KAYOS","KAYOED","KAYOED","KAYOING"
"KECK","KECKS","KECKED","KECKED","KECKING"
"KEDGE","KEDGES","KEDGED","KEDGED","KEDGING"
"KEEK","KEEKS","KEEKED","KEEKED","KEEKING"
"KEEL","KEELS","KEELED","KEELED","KEELING"
"KEELHAUL","KEELHAULS","KEELHAULED","KEELHAULED","KEELHAULING"
"KEEN","KEENS","KEENED","KEENED","KEENING"
"KEEP","KEEPS","KEPT","KEPT","KEEPING"
"KEN","KENS","KENNED","KENNED","KENNING"
"KENNEL","KENNELS","KENNELLED","KENNELLED","KENNELLING"
"KEP","KEPS","KEPED","KEPED","KEPING"
"KERATINIZE","KERATINIZES","KERATINIZED","KERATINIZED","KERATINIZING"
"KERFUFFLE","KERFUFFLES","KERFUFFLED","KERFUFFLED","KERFUFFLING"
"KERNE","KERNS","KERNED","KERNED","KERNING"
"KERNEL","KERNELS","KERNELLED","KERNELLED","KERNELLING"
"KETTLE","KETTLES","KETTLED","KETTLED","KETTLING"
"KEY","KEYS","KEYED","KEYED","KEYING"
"KEYBOARD","KEYBOARDS","KEYBOARDED","KEYBOARDED","KEYBOARDING"
"KEYNOTE","KEYNOTES","KEYNOTED","KEYNOTED","KEYNOTING"
"KEYPUNCH","KEYPUNCHES","KEYPUNCHED","KEYPUNCHED","KEYPUNCHING"
"KIBBLE","KIBBLES","KIBBLED","KIBBLED","KIBBLING"
"KIBITZ","KIBITZES","KIBITZED","KIBITZED","KIBITZING"
"KIBOSH","KIBOSHES","KIBOSHED","KIBOSHED","KIBOSHING"
"KICK","KICKS","KICKED","KICKED","KICKING"
"KICK-START","KICK-STARTS","KICK-STARTED","KICK-STARTED","KICK-STARTING"
"KICKSTART","KICKSTARTS","KICKSTARTED","KICKSTARTED","KICKSTARTING"
"KID","KIDS","KIDDED","KIDDED","KIDDING"
"KIDNAP","KIDNAPS","KIDNAPPED","KIDNAPPED","KIDNAPPING"
"KILL","KILLS","KILLED","KILLED","KILLING"
"KILN","KILNS","KILNED","KILNED","KILNING"
"KILT","KILTS","KILTED","KILTED","KILTING"
"KINDLE","KINDLES","KINDLED","KINDLED","KINDLING"
"KING-HIT","KING-HITS","KING-HIT","KING-HIT","KING-HITTING"
"KINGHIT","KINGHITS","KINGHIT","KINGHIT","KINGHITTING"
"KINK","KINKS","KINKED","KINKED","KINKING"
"KIP","KIPS","KIPPED","KIPPED","KIPPING"
"KIPPER","KIPPERS","KIPPERED","KIPPERED","KIPPERING"
"KISS","KISSES","KISSED","KISSED","KISSING"
"KIT","KITS","KITTED","KITTED","KITTING"
"KITE","KITES","KITED","KITED","KITING"
"KITTEN","KITTENS","KITTENED","KITTENED","KITTENING"
"KITTLE","KITTLES","KITTLED","KITTLED","KITTLING"
"KLAP","KLAPS","KLAPPED","KLAPPED","KLAPPING"
"KLUDGE","KLUDGES","KLUDGED","KLUDGED","KLUDGING"
"KNACKER","KNACKERS","KNACKERED","KNACKERED","KNACKERING"
"KNAP","KNAPS","KNAPPED","KNAPPED","KNAPPING"
"KNEAD","KNEADS","KNEADED","KNEADED","KNEADING"
"KNEE","KNEES","KNEED","KNEED","KNEEING"
"KNEECAP","KNEECAPS","KNEECAPPED","KNEECAPPED","KNEECAPPING"
"KNEEJERK","KNEEJERKS","KNEEJERKED","KNEEJERKED","KNEEJERKING"
"KNEEL","KNEELS","KNEELED","KNEELED","KNEELING"
"KNEEL","KNEELS","KNELT","KNELT","KNEELING"
"KNIFE","KNIFES","KNIFED","KNIFED","KNIFING"
"KNIGHT","KNIGHTS","KNIGHTED","KNIGHTED","KNIGHTING"
"KNIT","KNITS","KNIT","KNIT","KNITTING"
"KNIT","KNITS","KNITTED","KNITTED","KNITTING"
"KNOB","KNOBS","KNOBBED","KNOBBED","KNOBBING"
"KNOCK","KNOCKS","KNOCKED","KNOCKED","KNOCKING"
"KNOLL","KNOLLS","KNOLLED","KNOLLED","KNOLLING"
"KNOT","KNOTS","KNOTTED","KNOTTED","KNOTTING"
"KNOW","KNOWS","KNEW","KNOWN","KNOWING"
"KNUCKLE","KNUCKLES","KNUCKLED","KNUCKLED","KNUCKLING"
"KNURL","KNURLS","KNURLED","KNURLED","KNURLING"
"KO","KO'S","KO'D","KO'D","KO'ING"
"KO","KO'S","KO'ED","KO'ED","KO'ING"
"KOCKELSCH","KOCKELSCHES","KOCKELSCHED","KOCKELSCHED","KOCKELSCHING"
"KOTOW","KOTOWS","KOTOWED","KOTOWED","KOTOWING"
"KOWTOW","KOWTOWS","KOWTOWED","KOWTOWED","KOWTOWING"
"KRAAL","KRAALS","KRAALED","KRAALED","KRAALING"
"KVETCH","KVETCHES","KVETCHED","KVETCHED","KVETCHING"
"KYANIZE","KYANIZES","KYANIZED","KYANIZED","KYANIZING"
"LABEL","LABELS","LABELLED","LABELLED","LABELLING"
"LABIALIZE","LABIALIZES","LABIALIZED","LABIALIZED","LABIALIZING"
"LABOR","LABORS","LABORED","LABORED","LABORING"
"LABOUR","LABOURS","LABOURED","LABOURED","LABOURING"
"LACE","LACES","LACED","LACED","LACING"
"LACERATE","LACERATES","LACERATED","LACERATED","LACERATING"
"LACK","LACKS","LACKED","LACKED","LACKING"
"LACKEY","LACKEYS","LACKEYED","LACKEYED","LACKEYING"
"LACQUER","LACQUERS","LACQUERED","LACQUERED","LACQUERING"
"LACTATE","LACTATES","LACTATED","LACTATED","LACTATING"
"LADDER","LADDERS","LADDERED","LADDERED","LADDERING"
"LADE","LADES","LADED","LADEN","LADING"
"LADLE","LADLES","LADLED","LADLED","LADLING"
"LADYFY","LADYFIES","LADYFIED","LADYFIED","LADYFYING"
"LAG","LAGS","LAGGED","LAGGED","LAGGING"
"LAICIZE","LAICIZES","LAICIZED","LAICIZED","LAICIZING"
"LAIK","LAIKS","LAIKED","LAIKED","LAIKING"
"LAIR","LAIRS","LAIRED","LAIRED","LAIRING"
"LALLYGAG","LALLYGAGS","LALLYGAGGED","LALLYGAGGED","LALLYGAGGING"
"LAM","LAMS","LAMMED","LAMMED","LAMMING"
"LAMB","LAMBS","LAMBED","LAMBED","LAMBING"
"LAMBAST","LAMBASTS","LAMBASTED","LAMBASTED","LAMBASTING"
"LAMBASTE","LAMBASTES","LAMBASTED","LAMBASTED","LAMBASTING"
"LAME","LAMES","LAMED","LAMED","LAMING"
"LAMENT","LAMENTS","LAMENTED","LAMENTED","LAMENTING"
"LAMINATE","LAMINATES","LAMINATED","LAMINATED","LAMINATING"
"LAMP","LAMPS","LAMPED","LAMPED","LAMPING"
"LAMPOON","LAMPOONS","LAMPOONED","LAMPOONED","LAMPOONING"
"LANCE","LANCES","LANCED","LANCED","LANCING"
"LAND","LANDS","LANDED","LANDED","LANDING"
"LANDSCAPE","LANDSCAPES","LANDSCAPED","LANDSCAPED","LANDSCAPING"
"LANGUISH","LANGUISHES","LANGUISHED","LANGUISHED","LANGUISHING"
"LAP","LAPS","LAPPED","LAPPED","LAPPING"
"LAPIDATE","LAPIDATES","LAPIDATED","LAPIDATED","LAPIDATING"
"LAPIDIFY","LAPIDIFIES","LAPIDIFIED","LAPIDIFIED","LAPIDIFYING"
"LAPSE","LAPSES","LAPSED","LAPSED","LAPSING"
"LARD","LARDS","LARDED","LARDED","LARDING"
"LARGE","LARGES","LARGED","LARGED","LARGING"
"LARGEN","LARGENS","LARGENED","LARGENED","LARGENING"
"LARK","LARKS","LARKED","LARKED","LARKING"
"LARN","LARNS","LARNED","LARNED","LARNING"
"LARRUP","LARRUPS","LARRUPED","LARRUPED","LARRUPING"
"LASE","LASES","LASED","LASED","LASING"
"LASH","LASHES","LASHED","LASHED","LASHING"
"LASSO","LASSOES","LASSOED","LASSOED","LASSOING"
"LAST","LASTS","LASTED","LASTED","LASTING"
"LATCH","LATCHES","LATCHED","LATCHED","LATCHING"
"LATH","LATHS","LATHED","LATHED","LATHING"
"LATHE","LATHES","LATHED","LATHED","LATHING"
"LATHER","LATHERS","LATHERED","LATHERED","LATHERING"
"LATINIZE","LATINIZES","LATINIZED","LATINIZED","LATINIZING"
"LATTICE","LATTICES","LATTICED","LATTICED","LATTICING"
"LAUD","LAUDS","LAUDED","LAUDED","LAUDING"
"LAUGH","LAUGHS","LAUGHED","LAUGHED","LAUGHING"
"LAUNCH","LAUNCHES","LAUNCHED","LAUNCHED","LAUNCHING"
"LAUNDER","LAUNDERS","LAUNDERED","LAUNDERED","LAUNDERING"
"LAVE","LAVES","LAVED","LAVED","LAVING"
"LAVISH","LAVISHES","LAVISHED","LAVISHED","LAVISHING"
"LAY","LAYS","LAID","LAID","LAYING"
"LAYER","LAYERS","LAYERED","LAYERED","LAYERING"
"LAZE","LAZES","LAZED","LAZED","LAZING"
"LEACH","LEACHES","LEACHED","LEACHED","LEACHING"
"LEAD","LEADS","LED","LED","LEADING"
"LEAF","LEAFS","LEAFED","LEAFED","LEAFING"
"LEAFLET","LEAFLETS","LEAFLETED","LEAFLETED","LEAFLETING"
"LEAGUE","LEAGUES","LEAGUED","LEAGUED","LEAGUING"
"LEAK","LEAKS","LEAKED","LEAKED","LEAKING"
"LEAN","LEANS","LEANED","LEANED","LEANING"
"LEAN","LEANS","LEANT","LEANT","LEANING"
"LEAP","LEAPS","LEAPED","LEAPED","LEAPING"
"LEAP","LEAPS","LEAPT","LEAPT","LEAPING"
"LEAPFROG","LEAPFROGS","LEAPFROGGED","LEAPFROGGED","LEAPFROGGING"
"LEARN","LEARNS","LEARNED","LEARNED","LEARNING"
"LEARN","LEARNS","LEARNT","LEARNT","LEARNING"
"LEASE","LEASES","LEASED","LEASED","LEASING"
"LEASH","LEASHES","LEASHED","LEASHED","LEASHING"
"LEATHER","LEATHERS","LEATHERED","LEATHERED","LEATHERING"
"LEAVE","LEAVES","LEFT","LEFT","LEAVING"
"LEAVEN","LEAVENS","LEAVENED","LEAVENED","LEAVENING"
"LECH","LECHES","LECHED","LECHED","LECHING"
"LECTURE","LECTURES","LECTURED","LECTURED","LECTURING"
"LEDGER","LEDGERS","LEDGERED","LEDGERED","LEDGERING"
"LEER","LEERS","LEERED","LEERED","LEERING"
"LEG","LEGS","LEGGED","LEGGED","LEGGING"
"LEGALISE","LEGALISES","LEGALISED","LEGALISED","LEGALISING"
"LEGALISE","LEGALISES","LEGALISED","LEGALIZED","LEGALISING"
"LEGALIZE","LEGALIZES","LEGALIZED","LEGALIZED","LEGALIZING"
"LEGISLATE","LEGISLATES","LEGISLATED","LEGISLATED","LEGISLATING"
"LEGITIMATE","LEGITIMATES","LEGITIMATED","LEGITIMATED","LEGITIMATING"
"LEGITIMISE","LEGITIMISES","LEGITIMISED","LEGITIMISED","LEGITIMISING"
"LEGITIMIZE","LEGITIMIZES","LEGITIMIZED","LEGITIMIZED","LEGITIMIZING"
